tournament_name,tournament_date,round,winner_name,loser_name,score
Melbourne,1992.01.13,Round of 128,Jim Courier,Rodolphe Gilbert,64-764-63
Melbourne,1992.01.13,Round of 128,Boris Becker,Jan Gunnarsson,61-64-62
Melbourne,1992.01.13,Round of 128,Michael Stich,Javier Sanchez,75-61-46-63
Melbourne,1992.01.13,Round of 128,Ivan Lendl,Richard Fromberg,64-62-62
Melbourne,1992.01.13,Round of 128,Guy Forget,Henri Leconte,26-64-675-64-63
Melbourne,1992.01.13,Round of 128,Karel Novacek,David Pate,26-7610-64-61
Melbourne,1992.01.13,Round of 128,Jeff Tarango,Petr Korda,46-46-63-63-63
Melbourne,1992.01.13,Round of 128,Goran Ivanisevic,Jason Stoltenberg,7612-63-64
Melbourne,1992.01.13,Round of 128,Magnus Gustafsson,Gary Muller,64-63-63
Melbourne,1992.01.13,Round of 128,Derrick Rostagno,Carl Limberger,26-63-16-63-64
Melbourne,1992.01.13,Round of 128,Emilio Sanchez,Pablo Arraya,63-62-673-63
Melbourne,1992.01.13,Round of 128,Michael Chang,Fernando Roese,62-63-60
Melbourne,1992.01.13,Round of 128,David Wheaton,Jason Cask,64-60-60
Melbourne,1992.01.13,Round of 128,Goran Prpic,Glenn Layendecker,63-64-764
Melbourne,1992.01.13,Round of 128,Patrick Baur,Niclas Kroon,63-64-673-61
Melbourne,1992.01.13,Round of 128,Christian Bergstrom,Lars Jonsson,767-766-63
Melbourne,1992.01.13,Round of 128,Gilad Bloom,Marcos Aurelio Gorriz,6711-62-60-61
Melbourne,1992.01.13,Round of 128,Arnaud Boetsch,Diego Nargiso,63-63-64
Melbourne,1992.01.13,Round of 128,Omar Camporese,Thomas Hogstedt,36-62-62-26-61
Melbourne,1992.01.13,Round of 128,Paolo Cane,Byron Black,64-64-61
Melbourne,1992.01.13,Round of 128,Cristiano Caratti,Chuck Adams,673-63-63-60
Melbourne,1992.01.13,Round of 128,Pat Cash,Horst Skoff,61-75-766
Melbourne,1992.01.13,Round of 128,Andrei Cherkasov,Patrik Kuhnen,677-75-60-61
Melbourne,1992.01.13,Round of 128,Andrei Chesnokov,Frederic Fontang,63-764-61
Melbourne,1992.01.13,Round of 128,Francisco Clavet,Martin Strelba,62-763-26-75
Melbourne,1992.01.13,Round of 128,Olivier Delaitre,Christian Miniussi,675-64-63-62
Melbourne,1992.01.13,Round of 128,Jacco Eltingh,Karsten Braasch,26-57-63-64-75
Melbourne,1992.01.13,Round of 128,Thomas Enqvist,Magnus Larsson,75-766-75
Melbourne,1992.01.13,Round of 128,Wayne Ferreira,Leonardo Lavalle,62-64-16-63
Melbourne,1992.01.13,Round of 128,John Fitzgerald,Mark Koevermans,766-64-764
Melbourne,1992.01.13,Round of 128,Bret Garnett,Grant Doyle,64-62-64
Melbourne,1992.01.13,Round of 128,Jim Grabb,Patrick Rafter,36-60-763-62
Melbourne,1992.01.13,Round of 128,Paul Haarhuis,Jakob Hlasek,60-26-26-64-62
Melbourne,1992.01.13,Round of 128,Martin Jaite,Christo Van Rensburg,36-75-61-36-86
Melbourne,1992.01.13,Round of 128,Lars Koslowski,Jimmy Arias,61-762-60
Melbourne,1992.01.13,Round of 128,Richard Krajicek,Christian Saceanu,63-63-63
Melbourne,1992.01.13,Round of 128,Aaron Krickstein,Anders Jarryd,63-677-62-63
Melbourne,1992.01.13,Round of 128,Nicklas Kulti,Todd Witsken,60-61-673-63
Melbourne,1992.01.13,Round of 128,Amos Mansdorf,Peter Lundgren,64-36-63-64
Melbourne,1992.01.13,Round of 128,Wally Masur,Marian Vajda,46-64-46-62-62
Melbourne,1992.01.13,Round of 128,John McEnroe,Broderick Dyke,62-60-61
Melbourne,1992.01.13,Round of 128,Patrick McEnroe,Massimo Cierro,63-64-64
Melbourne,1992.01.13,Round of 128,Claudio Mezzadri,Jamie Morgan,46-46-63-64-62
Melbourne,1992.01.13,Round of 128,Thomas Muster,Jean-Philippe Fleurian,762-61-75
Melbourne,1992.01.13,Round of 128,Stefano Pescosolido,Daniel Nestor,64-64-75
Melbourne,1992.01.13,Round of 128,Cedric Pioline,Javier Frana,764-16-61-61
Melbourne,1992.01.13,Round of 128,Dimitri Poliakov,Claudio Pistolesi,63-36-46-63-63
Melbourne,1992.01.13,Round of 128,Gianluca Pozzi,Bryan Shelton,46-764-26-62-62
Melbourne,1992.01.13,Round of 128,Aki Rahunen,Andres Gomez,46-36-64-63-64
Melbourne,1992.01.13,Round of 128,Roger Rasheed,Danilo Marcelino,64-26-46-62-64
Melbourne,1992.01.13,Round of 128,Richey Reneberg,Bart Wuyts,62-64-75
Melbourne,1992.01.13,Round of 128,Marc Rosset,Horacio de la Pena,61-62-61
Melbourne,1992.01.13,Round of 128,Michiel Schapers,Thierry Champion,46-61-62-64
Melbourne,1992.01.13,Round of 128,Jan Siemerink,Jared Palmer,64-46-63-46-62
Melbourne,1992.01.13,Round of 128,Carl-Uwe Steeb,Renzo Furlan,64-62-62
Melbourne,1992.01.13,Round of 128,Sandon Stolle,Jaime Oncins,36-62-75-46-62
Melbourne,1992.01.13,Round of 128,Jonas Svensson,Shuzo Matsuoka,60-75-63
Melbourne,1992.01.13,Round of 128,Alexander Volkov,Todd Woodbridge,63-62-61
Melbourne,1992.01.13,Round of 128,Lars-Anders Wahlgren,Brad Gilbert,16-62-61-36-62
Melbourne,1992.01.13,Round of 128,MaliVai Washington,Grant Stafford,64-62-61
Melbourne,1992.01.13,Round of 128,Mark Woodforde,Jaime Yzaga,64-765-61
Melbourne,1992.01.13,Round of 128,Simon Youl,Guillaume Raoux,62-62-62
Melbourne,1992.01.13,Round of 128,Markus Zoecke,Grant Connell,767-63-63
Milan,1992.02.03,Finals,Omar Camporese,Goran Ivanisevic,36-63-64
Milan,1992.02.03,Semi-Finals,Goran Ivanisevic,Stefano Pescosolido,62-62
Milan,1992.02.03,Semi-Finals,Omar Camporese,Andrei Cherkasov,63-46-63
Milan,1992.02.03,Quarter-Finals,Goran Ivanisevic,Patrick McEnroe,63-64
Milan,1992.02.03,Quarter-Finals,Omar Camporese,Javier Sanchez,63-64
Milan,1992.02.03,Quarter-Finals,Andrei Cherkasov,Goran Prpic,62-46-63
Milan,1992.02.03,Quarter-Finals,Stefano Pescosolido,Gianluca Pozzi,62-62
Milan,1992.02.03,Round of 16,Patrick McEnroe,Guy Forget,764-26-764
Milan,1992.02.03,Round of 16,Stefano Pescosolido,Emilio Sanchez,64-36-63
Milan,1992.02.03,Round of 16,Goran Prpic,Petr Korda,761-61
Milan,1992.02.03,Round of 16,Javier Sanchez,Sergi Bruguera,06-60-62
Milan,1992.02.03,Round of 16,Goran Ivanisevic,Paul Haarhuis,64-63
Milan,1992.02.03,Round of 16,Omar Camporese,Arne Thoms,766-46-763
Milan,1992.02.03,Round of 16,Andrei Cherkasov,Alexander Volkov,769-75
Milan,1992.02.03,Round of 16,Gianluca Pozzi,Jakob Hlasek,63-62
Milan,1992.02.03,Round of 32,Arne Thoms,Ivan Lendl,64-36-767
Milan,1992.02.03,Round of 32,Guy Forget,Amos Mansdorf,63-64
Milan,1992.02.03,Round of 32,Emilio Sanchez,Jonas Svensson,64-61
Milan,1992.02.03,Round of 32,Petr Korda,Wayne Ferreira,75-63
Milan,1992.02.03,Round of 32,Alexander Volkov,Karel Novacek,762-768
Milan,1992.02.03,Round of 32,Jakob Hlasek,Andre Agassi,62-61
Milan,1992.02.03,Round of 32,Sergi Bruguera,Arnaud Boetsch,64-62
Milan,1992.02.03,Round of 32,Goran Ivanisevic,Magnus Larsson,766-57-64
Milan,1992.02.03,Round of 32,Omar Camporese,Tom Nijssen,57-75-75
Milan,1992.02.03,Round of 32,Andrei Cherkasov,Renzo Furlan,62-62
Milan,1992.02.03,Round of 32,Paul Haarhuis,Andrei Olhovskiy,46-75-64
Milan,1992.02.03,Round of 32,Patrick McEnroe,Markus Zoecke,64-675-62
Milan,1992.02.03,Round of 32,Stefano Pescosolido,Jordi Arrese,63-61
Milan,1992.02.03,Round of 32,Gianluca Pozzi,Cedric Pioline,57-64-763
Milan,1992.02.03,Round of 32,Goran Prpic,Cristiano Caratti,62-64
Milan,1992.02.03,Round of 32,Javier Sanchez,Carlos Costa,75-36-765
San Francisco,1992.02.03,Finals,Michael Chang,Jim Courier,63-63
San Francisco,1992.02.03,Semi-Finals,Jim Courier,Derrick Rostagno,46-63-62
San Francisco,1992.02.03,Semi-Finals,Michael Chang,Brad Gilbert,60-75
San Francisco,1992.02.03,Quarter-Finals,Jim Courier,Wally Masur,46-64-63
San Francisco,1992.02.03,Quarter-Finals,Michael Chang,Thierry Champion,63-63
San Francisco,1992.02.03,Quarter-Finals,Derrick Rostagno,Jeff Tarango,762-61
San Francisco,1992.02.03,Quarter-Finals,Brad Gilbert,Karsten Braasch,46-61-61
San Francisco,1992.02.03,Round of 16,Jim Courier,Jason Stoltenberg,75-64
San Francisco,1992.02.03,Round of 16,Michael Chang,Michiel Schapers,64-63
San Francisco,1992.02.03,Round of 16,Derrick Rostagno,Nicklas Kulti,46-762-64
San Francisco,1992.02.03,Round of 16,Brad Gilbert,Jonathan Stark,36-64-63
San Francisco,1992.02.03,Round of 16,Jeff Tarango,Richey Reneberg,64-75
San Francisco,1992.02.03,Round of 16,Karsten Braasch,Francisco Clavet,63-36-60
San Francisco,1992.02.03,Round of 16,Thierry Champion,Richard Fromberg,671-764-60
San Francisco,1992.02.03,Round of 16,Wally Masur,Jimmy Connors,763-46-63
San Francisco,1992.02.03,Round of 32,Jim Courier,Mark Woodforde,767-57-75
San Francisco,1992.02.03,Round of 32,Michael Chang,Jan Gunnarsson,61-61
San Francisco,1992.02.03,Round of 32,Derrick Rostagno,Rodolphe Gilbert,57-762-61
San Francisco,1992.02.03,Round of 32,Brad Gilbert,Chuck Adams,61-75
San Francisco,1992.02.03,Round of 32,Richey Reneberg,Todd Martin,673-63-60
San Francisco,1992.02.03,Round of 32,Francisco Clavet,Alex O'Brien,63-57-63
San Francisco,1992.02.03,Round of 32,Thierry Champion,Patrik Kuhnen,36-64-75
San Francisco,1992.02.03,Round of 32,Jimmy Connors,Bryan Shelton,766-26-63
San Francisco,1992.02.03,Round of 32,Karsten Braasch,Jim Grabb,36-63-764
San Francisco,1992.02.03,Round of 32,Richard Fromberg,Gary Muller,46-765-63
San Francisco,1992.02.03,Round of 32,Nicklas Kulti,Brian MacPhie,64-64
San Francisco,1992.02.03,Round of 32,Wally Masur,Todd Witsken,63-16-63
San Francisco,1992.02.03,Round of 32,Michiel Schapers,Christian Saceanu,57-765-63
San Francisco,1992.02.03,Round of 32,Jonathan Stark,Patrick Baur,63-36-63
San Francisco,1992.02.03,Round of 32,Jason Stoltenberg,Kevin Curren,767-64
San Francisco,1992.02.03,Round of 32,Jeff Tarango,Javier Frana,765-57-63
Maceio,1992.02.03,Finals,Tomas Carbonell,Christian Miniussi,7612-57-62
Maceio,1992.02.03,Semi-Finals,Christian Miniussi,Francisco Roig,36-75-64
Maceio,1992.02.03,Semi-Finals,Tomas Carbonell,Luiz Mattar,64-75
Maceio,1992.02.03,Quarter-Finals,Francisco Roig,Martin Jaite,62-62
Maceio,1992.02.03,Quarter-Finals,Christian Miniussi,Gabriel Markus,62-63
Maceio,1992.02.03,Quarter-Finals,Tomas Carbonell,Franco Davin,62-57-62
Maceio,1992.02.03,Quarter-Finals,Luiz Mattar,Fernando Meligeni,36-63-62
Maceio,1992.02.03,Round of 16,Martin Jaite,Pablo Arraya,63-62
Maceio,1992.02.03,Round of 16,Gabriel Markus,Cassio Motta,63-61
Maceio,1992.02.03,Round of 16,Christian Miniussi,Nuno Marques,75-62
Maceio,1992.02.03,Round of 16,Francisco Roig,Roberto Azar,63-63
Maceio,1992.02.03,Round of 16,Tomas Carbonell,Marcelo Ingaramo,64-20-(RET)
Maceio,1992.02.03,Round of 16,Franco Davin,Luis Herrera,57-75-63
Maceio,1992.02.03,Round of 16,Luiz Mattar,Oliver Fernandez,16-75-63
Maceio,1992.02.03,Round of 16,Fernando Meligeni,Chris Garner,63-64
Maceio,1992.02.03,Round of 32,Martin Jaite,Daniel Orsanic,64-63
Maceio,1992.02.03,Round of 32,Gabriel Markus,Horacio de la Pena,64-75
Maceio,1992.02.03,Round of 32,Luiz Mattar,Jaime Oncins,766-57-61
Maceio,1992.02.03,Round of 32,Christian Miniussi,Martin Wostenholme,64-16-62
Maceio,1992.02.03,Round of 32,Roberto Azar,Francisco Montana,634-62
Maceio,1992.02.03,Round of 32,Tomas Carbonell,Jimmy Brown,61-60
Maceio,1992.02.03,Round of 32,Pablo Arraya,Danilo Marcelino,64-64
Maceio,1992.02.03,Round of 32,Franco Davin,Jose Daher,63-06-64
Maceio,1992.02.03,Round of 32,Oliver Fernandez,Nicolas Pereira,61-46-762
Maceio,1992.02.03,Round of 32,Chris Garner,Nicolas Becerra,64-26-64
Maceio,1992.02.03,Round of 32,Luis Herrera,Francisco Yunis,764-64
Maceio,1992.02.03,Round of 32,Marcelo Ingaramo,Fernando Roese,60-64
Maceio,1992.02.03,Round of 32,Nuno Marques,Diego Perez,767-63
Maceio,1992.02.03,Round of 32,Fernando Meligeni,Joao Cunha-Silva,62-61
Maceio,1992.02.03,Round of 32,Cassio Motta,Marcelo Filippini,63-767
Maceio,1992.02.03,Round of 32,Francisco Roig,Juan Pablo Etchecoin,36-63-62
Brussels,1992.02.10,Finals,Boris Becker,Jim Courier,675-26-7610-765-75
Brussels,1992.02.10,Semi-Finals,Boris Becker,Stefan Edberg,46-64-62
Brussels,1992.02.10,Semi-Finals,Jim Courier,Guy Forget,767-64
Brussels,1992.02.10,Quarter-Finals,Stefan Edberg,Karel Novacek,62-61
Brussels,1992.02.10,Quarter-Finals,Jim Courier,Alexander Volkov,766-764
Brussels,1992.02.10,Quarter-Finals,Boris Becker,Carl-Uwe Steeb,63-763
Brussels,1992.02.10,Quarter-Finals,Guy Forget,Ivan Lendl,62-764
Brussels,1992.02.10,Round of 16,Stefan Edberg,Jan Siemerink,75-62
Brussels,1992.02.10,Round of 16,Jim Courier,Henri Leconte,64-75
Brussels,1992.02.10,Round of 16,Boris Becker,Patrick McEnroe,766-61
Brussels,1992.02.10,Round of 16,Ivan Lendl,Goran Ivanisevic,675-75-64
Brussels,1992.02.10,Round of 16,Guy Forget,John McEnroe,63-62
Brussels,1992.02.10,Round of 16,Karel Novacek,Eduardo Masso,64-62
Brussels,1992.02.10,Round of 16,Alexander Volkov,Andre Agassi,765-63
Brussels,1992.02.10,Round of 16,Carl-Uwe Steeb,Anders Jarryd,64-64
Brussels,1992.02.10,Round of 32,Stefan Edberg,Sergi Bruguera,64-46-64
Brussels,1992.02.10,Round of 32,Jim Courier,Fabrice Santoro,62-61
Brussels,1992.02.10,Round of 32,Boris Becker,Jonas Svensson,64-60
Brussels,1992.02.10,Round of 32,Ivan Lendl,Peter Nyborg,678-75-62
Brussels,1992.02.10,Round of 32,Guy Forget,Magnus Gustafsson,62-64
Brussels,1992.02.10,Round of 32,Anders Jarryd,Petr Korda,36-64-61
Brussels,1992.02.10,Round of 32,Karel Novacek,Goran Prpic,64-762
Brussels,1992.02.10,Round of 32,Andre Agassi,Alex Antonitsch,674-75-63
Brussels,1992.02.10,Round of 32,Goran Ivanisevic,Jakob Hlasek,63-63
Brussels,1992.02.10,Round of 32,Henri Leconte,Olivier Delaitre,63-63
Brussels,1992.02.10,Round of 32,Eduardo Masso,Thierry Champion,62-61
Brussels,1992.02.10,Round of 32,John McEnroe,Richard Krajicek,36-75-62
Brussels,1992.02.10,Round of 32,Patrick McEnroe,Andrei Cherkasov,64-764
Brussels,1992.02.10,Round of 32,Jan Siemerink,Arnaud Boetsch,63-763
Brussels,1992.02.10,Round of 32,Carl-Uwe Steeb,Christian Bergstrom,75-36-765
Brussels,1992.02.10,Round of 32,Alexander Volkov,Cedric Pioline,675-64-63
Memphis,1992.02.10,Finals,MaliVai Washington,Wayne Ferreira,63-62
Memphis,1992.02.10,Semi-Finals,Wayne Ferreira,Amos Mansdorf,62-63
Memphis,1992.02.10,Semi-Finals,MaliVai Washington,Jimmy Connors,62-75
Memphis,1992.02.10,Quarter-Finals,Wayne Ferreira,Pete Sampras,64-62
Memphis,1992.02.10,Quarter-Finals,Jimmy Connors,Aaron Krickstein,36-62-63
Memphis,1992.02.10,Quarter-Finals,MaliVai Washington,Michiel Schapers,63-75
Memphis,1992.02.10,Quarter-Finals,Amos Mansdorf,Paul Haarhuis,765-63
Memphis,1992.02.10,Round of 16,Jimmy Connors,Michael Stich,57-765-75
Memphis,1992.02.10,Round of 16,Pete Sampras,Grant Connell,764-61
Memphis,1992.02.10,Round of 16,MaliVai Washington,Michael Chang,75-762
Memphis,1992.02.10,Round of 16,Paul Haarhuis,David Wheaton,46-763-75
Memphis,1992.02.10,Round of 16,Amos Mansdorf,Brad Gilbert,762-761
Memphis,1992.02.10,Round of 16,Wayne Ferreira,Richey Reneberg,62-46-64
Memphis,1992.02.10,Round of 16,Aaron Krickstein,Todd Woodbridge,62-62
Memphis,1992.02.10,Round of 16,Michiel Schapers,Jason Stoltenberg,61-62
Memphis,1992.02.10,Round of 32,Michael Stich,Todd Martin,62-62
Memphis,1992.02.10,Round of 32,Pete Sampras,Richard Fromberg,64-75
Memphis,1992.02.10,Round of 32,Michael Chang,Patrick Baur,63-63
Memphis,1992.02.10,Round of 32,David Wheaton,Sandon Stolle,767-63
Memphis,1992.02.10,Round of 32,Brad Gilbert,Nicklas Kulti,762-63
Memphis,1992.02.10,Round of 32,Michiel Schapers,Derrick Rostagno,63-46-63
Memphis,1992.02.10,Round of 32,Wayne Ferreira,Wally Masur,64-64
Memphis,1992.02.10,Round of 32,Todd Woodbridge,Andrei Chesnokov,64-764
Memphis,1992.02.10,Round of 32,Aaron Krickstein,Todd Witsken,766-64
Memphis,1992.02.10,Round of 32,Richey Reneberg,Gianluca Pozzi,62-75
Memphis,1992.02.10,Round of 32,Jason Stoltenberg,Horst Skoff,75-63
Memphis,1992.02.10,Round of 32,Amos Mansdorf,Francisco Clavet,64-63
Memphis,1992.02.10,Round of 32,MaliVai Washington,Bryan Shelton,60-63
Memphis,1992.02.10,Round of 32,Paul Haarhuis,Christo Van Rensburg,64-64
Memphis,1992.02.10,Round of 32,Grant Connell,Cristiano Caratti,764-766
Memphis,1992.02.10,Round of 32,Jimmy Connors,Kevin Curren,62-62
Memphis,1992.02.10,Round of 64,Michael Stich,Bye,
Memphis,1992.02.10,Round of 64,Pete Sampras,Bye,
Memphis,1992.02.10,Round of 64,Michael Chang,Bye,
Memphis,1992.02.10,Round of 64,David Wheaton,Bye,
Memphis,1992.02.10,Round of 64,Brad Gilbert,Bye,
Memphis,1992.02.10,Round of 64,Derrick Rostagno,Bye,
Memphis,1992.02.10,Round of 64,Wayne Ferreira,Bye,
Memphis,1992.02.10,Round of 64,Andrei Chesnokov,Bye,
Memphis,1992.02.10,Round of 64,Aaron Krickstein,Bye,
Memphis,1992.02.10,Round of 64,Richey Reneberg,Bye,
Memphis,1992.02.10,Round of 64,Horst Skoff,Bye,
Memphis,1992.02.10,Round of 64,Francisco Clavet,Bye,
Memphis,1992.02.10,Round of 64,MaliVai Washington,Bye,
Memphis,1992.02.10,Round of 64,Paul Haarhuis,Bye,
Memphis,1992.02.10,Round of 64,Cristiano Caratti,Bye,
Memphis,1992.02.10,Round of 64,Jimmy Connors,Bye,
Memphis,1992.02.10,Round of 64,Patrick Baur,Renzo Furlan,26-764-64
Memphis,1992.02.10,Round of 64,Grant Connell,Lars Jonsson,46-63-75
Memphis,1992.02.10,Round of 64,Kevin Curren,Peter Doohan,62-64
Memphis,1992.02.10,Round of 64,Richard Fromberg,Karsten Braasch,63-75
Memphis,1992.02.10,Round of 64,Nicklas Kulti,Paul Annacone,46-766-64
Memphis,1992.02.10,Round of 64,Amos Mansdorf,Rodolphe Gilbert,64-62
Memphis,1992.02.10,Round of 64,Todd Martin,Mark Woodforde,763-57-63
Memphis,1992.02.10,Round of 64,Wally Masur,Shuzo Matsuoka,46-61-764
Memphis,1992.02.10,Round of 64,Gianluca Pozzi,Jimmy Arias,62-57-63
Memphis,1992.02.10,Round of 64,Michiel Schapers,Christian Saceanu,63-675-63
Memphis,1992.02.10,Round of 64,Bryan Shelton,Patrik Kuhnen,64-675-761
Memphis,1992.02.10,Round of 64,Sandon Stolle,Johan Kriek,63-64
Memphis,1992.02.10,Round of 64,Jason Stoltenberg,Gabriel Markus,63-62
Memphis,1992.02.10,Round of 64,Christo Van Rensburg,Mark Koevermans,62-61
Memphis,1992.02.10,Round of 64,Todd Witsken,Ronald Agenor,26-768-763
Memphis,1992.02.10,Round of 64,Todd Woodbridge,Chuck Adams,764-767
Philadelphia,1992.02.17,Finals,Pete Sampras,Amos Mansdorf,61-764-26-762
Philadelphia,1992.02.17,Semi-Finals,Pete Sampras,Brad Gilbert,64-63
Philadelphia,1992.02.17,Semi-Finals,Amos Mansdorf,Francisco Clavet,57-63-62
Philadelphia,1992.02.17,Quarter-Finals,Pete Sampras,Aaron Krickstein,36-765-767
Philadelphia,1992.02.17,Quarter-Finals,Brad Gilbert,Paul Haarhuis,63-36-61
Philadelphia,1992.02.17,Quarter-Finals,Francisco Clavet,Jim Grabb,26-75-63
Philadelphia,1992.02.17,Quarter-Finals,Amos Mansdorf,Jeff Tarango,63-60
Philadelphia,1992.02.17,Round of 16,Amos Mansdorf,Michael Stich,765-75
Philadelphia,1992.02.17,Round of 16,Pete Sampras,Stefano Pescosolido,760-46-64
Philadelphia,1992.02.17,Round of 16,Paul Haarhuis,David Wheaton,63-766
Philadelphia,1992.02.17,Round of 16,Francisco Clavet,Derrick Rostagno,764-765
Philadelphia,1992.02.17,Round of 16,Brad Gilbert,Martin Laurendeau,64-63
Philadelphia,1992.02.17,Round of 16,Jeff Tarango,Wayne Ferreira,63-75
Philadelphia,1992.02.17,Round of 16,Aaron Krickstein,Rodolphe Gilbert,36-763-75
Philadelphia,1992.02.17,Round of 16,Jim Grabb,Todd Woodbridge,763-64
Philadelphia,1992.02.17,Round of 32,Michael Stich,Michiel Schapers,762-63
Philadelphia,1992.02.17,Round of 32,Pete Sampras,David Dilucia,62-61
Philadelphia,1992.02.17,Round of 32,Jim Grabb,Michael Chang,63-36-62
Philadelphia,1992.02.17,Round of 32,David Wheaton,Markus Zoecke,64-36-64
Philadelphia,1992.02.17,Round of 32,Derrick Rostagno,Renzo Furlan,57-63-63
Philadelphia,1992.02.17,Round of 32,Brad Gilbert,Glenn Layendecker,62-64
Philadelphia,1992.02.17,Round of 32,Wayne Ferreira,Chris Pridham,64-64
Philadelphia,1992.02.17,Round of 32,Rodolphe Gilbert,Richey Reneberg,64-62
Philadelphia,1992.02.17,Round of 32,Jeff Tarango,Andrei Chesnokov,36-64-61
Philadelphia,1992.02.17,Round of 32,Aaron Krickstein,Todd Martin,36-64-63
Philadelphia,1992.02.17,Round of 32,Francisco Clavet,Wally Masur,675-63-763
Philadelphia,1992.02.17,Round of 32,Martin Laurendeau,Horst Skoff,63-64
Philadelphia,1992.02.17,Round of 32,Todd Woodbridge,MaliVai Washington,61-57-763
Philadelphia,1992.02.17,Round of 32,Paul Haarhuis,Cristiano Caratti,760-64
Philadelphia,1992.02.17,Round of 32,Stefano Pescosolido,Arnaud Boetsch,75-64
Philadelphia,1992.02.17,Round of 32,Amos Mansdorf,Christo Van Rensburg,64-63
Philadelphia,1992.02.17,Round of 64,Michael Stich,Bye,
Philadelphia,1992.02.17,Round of 64,Pete Sampras,Bye,
Philadelphia,1992.02.17,Round of 64,Michael Chang,Bye,
Philadelphia,1992.02.17,Round of 64,David Wheaton,Bye,
Philadelphia,1992.02.17,Round of 64,Derrick Rostagno,Bye,
Philadelphia,1992.02.17,Round of 64,Brad Gilbert,Bye,
Philadelphia,1992.02.17,Round of 64,Wayne Ferreira,Bye,
Philadelphia,1992.02.17,Round of 64,Richey Reneberg,Bye,
Philadelphia,1992.02.17,Round of 64,Andrei Chesnokov,Bye,
Philadelphia,1992.02.17,Round of 64,Aaron Krickstein,Bye,
Philadelphia,1992.02.17,Round of 64,Francisco Clavet,Bye,
Philadelphia,1992.02.17,Round of 64,Horst Skoff,Bye,
Philadelphia,1992.02.17,Round of 64,MaliVai Washington,Bye,
Philadelphia,1992.02.17,Round of 64,Paul Haarhuis,Bye,
Philadelphia,1992.02.17,Round of 64,Stefano Pescosolido,Bye,
Philadelphia,1992.02.17,Round of 64,Amos Mansdorf,Bye,
Philadelphia,1992.02.17,Round of 64,Arnaud Boetsch,Ronald Agenor,64-762
Philadelphia,1992.02.17,Round of 64,Cristiano Caratti,Richard Fromberg,64-75
Philadelphia,1992.02.17,Round of 64,David Dilucia,Kevin Curren,75-36-64
Philadelphia,1992.02.17,Round of 64,Renzo Furlan,Gianluca Pozzi,75-63
Philadelphia,1992.02.17,Round of 64,Rodolphe Gilbert,Patrick Baur,75-676-64
Philadelphia,1992.02.17,Round of 64,Jim Grabb,Bryan Shelton,63-766
Philadelphia,1992.02.17,Round of 64,Martin Laurendeau,Gabriel Markus,62-75
Philadelphia,1992.02.17,Round of 64,Glenn Layendecker,Stephane Simian,36-64-62
Philadelphia,1992.02.17,Round of 64,Todd Martin,Christian Saceanu,63-36-63
Philadelphia,1992.02.17,Round of 64,Wally Masur,Jason Stoltenberg,64-61
Philadelphia,1992.02.17,Round of 64,Chris Pridham,Shuzo Matsuoka,674-64-75
Philadelphia,1992.02.17,Round of 64,Michiel Schapers,Tim Mayotte,63-64
Philadelphia,1992.02.17,Round of 64,Jeff Tarango,Paul Annacone,674-61-63
Philadelphia,1992.02.17,Round of 64,Christo Van Rensburg,Mark Woodforde,64-75
Philadelphia,1992.02.17,Round of 64,Todd Woodbridge,Grant Connell,765-64
Philadelphia,1992.02.17,Round of 64,Markus Zoecke,Leonardo Lavalle,61-64
Stuttgart,1992.02.17,Finals,Goran Ivanisevic,Stefan Edberg,675-63-64-64
Stuttgart,1992.02.17,Semi-Finals,Stefan Edberg,Petr Korda,64-64
Stuttgart,1992.02.17,Semi-Finals,Goran Ivanisevic,Alexander Volkov,36-63-64
Stuttgart,1992.02.17,Quarter-Finals,Goran Ivanisevic,Jim Courier,36-762-768
Stuttgart,1992.02.17,Quarter-Finals,Stefan Edberg,Omar Camporese,46-62-75
Stuttgart,1992.02.17,Quarter-Finals,Alexander Volkov,Guy Forget,64-64
Stuttgart,1992.02.17,Quarter-Finals,Petr Korda,Jan Siemerink,64-64
Stuttgart,1992.02.17,Round of 16,Jim Courier,Richard Krajicek,63-36-63
Stuttgart,1992.02.17,Round of 16,Stefan Edberg,Alex Antonitsch,61-62
Stuttgart,1992.02.17,Round of 16,Jan Siemerink,Boris Becker,63-64
Stuttgart,1992.02.17,Round of 16,Alexander Volkov,Ivan Lendl,764-57-61
Stuttgart,1992.02.17,Round of 16,Guy Forget,Christian Bergstrom,764-60
Stuttgart,1992.02.17,Round of 16,Petr Korda,Anders Jarryd,63-75
Stuttgart,1992.02.17,Round of 16,Goran Ivanisevic,Olivier Delaitre,63-767
Stuttgart,1992.02.17,Round of 16,Omar Camporese,Karel Novacek,63-61
Stuttgart,1992.02.17,Round of 32,Jim Courier,Diego Nargiso,63-63
Stuttgart,1992.02.17,Round of 32,Stefan Edberg,Magnus Larsson,62-62
Stuttgart,1992.02.17,Round of 32,Boris Becker,Jonas Svensson,46-75-62
Stuttgart,1992.02.17,Round of 32,Ivan Lendl,Andrei Cherkasov,766-64
Stuttgart,1992.02.17,Round of 32,Guy Forget,Jakob Hlasek,765-62
Stuttgart,1992.02.17,Round of 32,Petr Korda,Arne Thoms,768-75
Stuttgart,1992.02.17,Round of 32,Goran Ivanisevic,Slobodan Zivojinovic,63-765
